Player;Pos;Squad;Min;Non-penalty Expected Goals;Non-penalty Expected Goals/Shot;Expected Assists;Shot-Created Actions;Completed Passes into Penalty Box;Passes Completed %;Key Passes;Successful Dribbles;Successful Dribbles %;Dispossessed;Successful Pressures
Ante Rebić;W;Milan;1776;0.37;0.17;0.27;3.6;1.62;63.6;1.73;1.27;53.2;2.23;4.37
Arkadiusz Reca;W;Crotone;2313;0.06;0.05;0.12;1.91;1.09;70.2;0.97;1.36;58.3;0.82;4.05
Recio;CM;Eibar;734;0.06;0.04;0.09;3.41;0.73;79.8;1.59;0.85;63.6;1.22;5.73
Daishawn Redan;FW;Hertha BSC;102;0.55;0.21;0;2.73;0.91;65.5;0.91;1.82;50;0;4.55
Nathan Redmond;W;Southampton;1738;0.17;0.07;0.17;3.01;1.61;75.9;1.5;2.28;52.4;1.55;5.49
Harrison Reed;CM;Fulham;2247;0.01;0.02;0.06;1.6;0.72;86.4;0.88;0.6;71.4;0.48;6.4
Vasco Regini;FB;Sampdoria;88;0;0;0;1;1;89.2;1;0;0;0;6
Sergio Reguilón;FB;Tottenham;2244;0.06;0.08;0.07;1.65;1.08;77.2;0.68;1.08;52.9;1.24;4.5
Bobby Reid;AM;Fulham;2372;0.18;0.14;0.05;1.25;1.06;74.1;0.57;1.06;54.9;1.33;4.02
Pepe Reina;GK;Lazio;2610;0;0;0;0.03;0.03;81.6;0.03;0.03;100;0;0.03
Jeff Reine-Adélaïde;AM;Nice;1058;0.1;0.08;0.2;2.71;1.1;83.8;1.44;3.64;71.7;3.56;2.46
Jeff Reine-Adélaïde;AM;Lyon;24;0.33;0.1;0;3.33;3.33;78.9;3.33;10;60;0;0
Reinier;AM;Dortmund;257;0.31;0.29;0.14;2.41;1.03;88.5;1.38;1.03;75;1.38;5.52
Francisco Reis Ferreira;CB;Valencia;181;0;0;0;0;0;88.2;0;0;0;0.5;3.5
Rocco Reitz;CM;Mönchengladbach;60;0;0;0.14;4.29;0;81.4;2.86;2.86;100;1.43;8.57
Karim Rekik;CB;Sevilla;653;0.03;0.07;0.01;1.1;0.68;88.8;0.41;0.68;71.4;0.68;4.52
Álex Remiro;GK;Real Sociedad;3420;0;0;0;0.08;0;71.1;0;0.03;100;0;0
Panagiotis Retsos;CB;Saint-Étienne;272;0;0.02;0.03;1;0.33;86.1;0.67;1.33;100;0.33;5
Marco Reus;AM;Dortmund;2279;0.29;0.14;0.32;3.64;1.7;79.8;1.98;1.62;54.7;1.11;6.28
Elvis Rexhbeçaj;CM;Köln;1833;0.1;0.08;0.11;2.11;0.69;64.9;1.27;0.64;43.3;1.62;6.76
Oriol Rey;CM;Valladolid;15;0;0;0;0;0;84.6;0;0;0;0;15
Gio Reyna;AM;Dortmund;1976;0.2;0.12;0.2;3.14;1.41;79.3;1.55;2.23;56.3;2.77;5.23
Baptiste Reynet;GK;Nîmes;3420;0;0.04;0.02;0.16;0.03;67.4;0.11;0.03;100;0;0.05
Bryan Reynolds;FB;Roma;283;0;0;0;0.65;0.65;84.4;0.32;0.97;50;1.61;6.45
Franck Ribéry;W;Fiorentina;2149;0.13;0.14;0.19;3.05;1.46;86.4;1.3;2.55;62.9;4.31;4.9
Ricard;FB;Atlético Madrid;30;0;0.02;0;6.67;6.67;70;0;0;0;0;13.3
Federico Ricci;W;Sassuolo;4;0;0;0;0;0;100;0;0;0;0;1
Giacomo Ricci;FB;Parma;67;0;0;0;2.86;1.43;73.1;0;0;0;2.86;2.86
Matteo Ricci;CM;Spezia;2229;0.04;0.04;0.06;1.73;0.97;85.2;0.89;0.36;60;0.48;4.11
Declan Rice;CM;West Ham;2879;0.05;0.07;0.07;1.53;0.66;86.2;0.59;1.03;89.2;0.66;4.66
Chris Richards;CB;Hoffenheim;944;0.02;0.08;0.03;1.05;0.29;87.8;0.38;0.29;75;0.38;5.33
Chris Richards;CB;Bayern Munich;89;0;0;0.3;3;5;90.8;3;0;0;2;2
Lewis Richardson;AM;Burnley;4;0;0;0;0;0;0;0;0;0;2;2
Richarlison;FW;Everton;2861;0.34;0.13;0.1;2.52;0.44;69.2;0.79;1.95;55.9;2.11;4.53
Marco Richter;W;Augsburg;1416;0.31;0.09;0.1;2.93;0.76;59.7;0.96;2.87;57;2.36;3.5
Mikel Rico;CM;Huesca;2183;0.09;0.12;0.06;1.89;0.53;78.1;0.78;1.19;64.4;1.52;3.87
Sergio Rico;GK;Paris Saint-Germain;810;0;0;0;0;0;90.7;0;0;0;0;0
Jaïro Riedewald;CM;Crystal Palace;1820;0.03;0.08;0.05;0.94;0.4;84.9;0.54;0.59;54.5;0.54;4.21
Emiliano Rigoni;W;Elche;1139;0.2;0.15;0.15;1.42;0.47;74.3;0.87;1.42;47.4;1.42;2.6
Tomás Rincón;CM;Torino;2846;0.05;0.07;0.06;1.27;0.51;84.1;0.44;0.92;70.7;1.01;5.51
Luis Rioja;W;Alavés;2090;0.15;0.14;0.14;2.2;0.73;67;1.08;1.85;59.7;1.64;3.32
Renaud Ripart;W;Nîmes;3054;0.13;0.07;0.04;1.42;0.62;68.6;0.41;1.18;47.1;1.65;5.84
Andrea Rispoli;W;Crotone;652;0.06;0.09;0.08;2.22;0.97;70.4;1.39;0.56;50;0.97;3.19
Mihailo Ristić;W;Montpellier;2236;0.03;0.03;0.06;1.77;1.49;77.7;0.77;0.77;47.5;1.21;3.67
Matt Ritchie;FB;Newcastle Utd;1350;0.03;0.04;0.1;2.67;1.2;67.7;1.6;0.4;75;0.6;2.13
Maxence Rivera;W;Saint-Étienne;239;0.04;0.05;0.04;1.85;0.37;74.5;1.11;1.85;35.7;1.85;8.52
Emmanuel Rivière;FW;Crotone;640;0.15;0.1;0.08;1.55;0.14;76.4;0.7;0.28;33.3;1.13;2.96
Rober;CB;Levante;1425;0.01;0.03;0.04;0.44;0.06;85.1;0.19;0.38;100;0.32;3.92
Roberto;GK;Valladolid;1170;0;0;0;0;0;48.7;0;0;0;0;0
Sergi Roberto;FB;Barcelona;946;0.05;0.11;0.19;1.71;1.71;90.2;1.24;0.76;88.9;0.38;2.1
