Player;Pos;Squad;Min;Goals;Non-penalty Expected Goals;Non-penalty Expected Goals/Shot;Aerial Duels Won;Aerial Duels Won %;Touches Inside Opposition's Penalty Box;Expected Assists;Completed Passes into Penalty Box;Successful Dribbles;Successful Dribbles %;Dispossessed;Successful Pressures
Federico Fazio;CB;Roma;406;0.22;0.04;0.05;4.44;71.4;1.33;0;0.44;0.67;75;0.22;3.11
Nabil Fekir;AM;Betis;2622;0.17;0.18;0.06;0.72;22.1;4.26;0.18;1.65;2.13;69.7;3.26;5.84
Felipe;CB;Atlético Madrid;2057;0;0.04;0.08;3.89;80.2;0.96;0.01;0;0.13;100;0.13;2.36
Luiz Felipe;CB;Lazio;909;0;0.02;0.08;1.29;44.8;0.3;0.02;0.2;0.2;100;0.3;4.46
Ohis Felix Uduokhai;CB;Augsburg;2610;0.03;0.04;0.09;3.76;67.7;1;0.01;0.14;0.55;80;0.52;3.86
João Félix;AM;Atlético Madrid;1572;0.4;0.21;0.1;1.31;43.4;3.43;0.22;1.2;1.94;51.5;2.17;3.37
Zinedine Ferhat;W;Nîmes;2957;0.18;0.13;0.07;2.25;50.3;3.74;0.18;1.43;1.95;50;2.07;3.01
Bruno Fernandes;AM;Manchester Utd;3099;0.52;0.23;0.07;0.38;23.2;3.84;0.32;2.79;0.76;46.4;1.16;5.2
Edimilson Fernandes;CM;Mainz 05;841;0;0.08;0.05;0.86;61.5;0.65;0.1;0.65;0.43;66.7;1.83;3.76
Aitor Fernández;GK;Levante;2610;0;0;0;0;0;0;0;0;0;0;0.03;0.03
Álex Fernández;AM;Cádiz;1946;0.19;0.08;0.21;1.02;44;0.97;0.08;0.65;0.6;54.2;1.16;3.19
Álvaro Fernández;GK;Huesca;1980;0;0;0.05;0;0;0.14;0;0;0;0;0;0.14
Andrés Fernández;GK;Huesca;1440;0;0;0;0;0;0;0;0;0.19;100;0;0
Augusto Fernández;CM;Cádiz;369;0;0;0;0.49;28.6;0.49;0;0.24;0;0;1.46;7.8
Carlos Fernández;FW;Sevilla;143;0;0.06;0.07;3.13;45.5;3.75;0.06;0;0.63;50;1.88;0.63
Carlos Fernández;FW;Real Sociedad;390;0.23;0.26;0.16;3.26;42.4;4.19;0.14;0.7;0.7;37.5;2.79;5.81
Federico Fernández;CB;Newcastle Utd;2079;0;0.01;0.07;1.99;56.1;0.56;0.01;0.13;0;0;0.17;2.21
Joaquín Fernández;CB;Valladolid;2073;0.04;0.06;0.13;2.83;58.6;0.61;0.01;0.09;0.09;100;0.3;2.74
Fernandinho;CM;Manchester City;1188;0;0.06;0.06;2.2;61.7;0.91;0.07;1.29;0.76;66.7;0.45;5.61
Fernando;CM;Sevilla;2546;0.11;0.02;0.13;2.05;59.8;0.64;0.12;0.35;0.49;60.9;0.67;4.63
Alex Ferrari;CB;Sampdoria;880;0;0;0;1.73;68;0.82;0.04;0.1;0.1;33.3;0.31;6.94
David Ferreiro;W;Huesca;2527;0.07;0.07;0.07;0.43;31.6;1.78;0.2;1.57;1.46;65.1;1;3.81
Salvador Ferrer;FB;Spezia;1190;0;0;0;0;0;0;0;0;0;0;0;0
Facundo Ferreyra;FW;Celta Vigo;300;0.3;0.42;0.21;3.64;46.2;3.03;0;0;0.3;33.3;2.73;3.64
Jordan Ferri;CM;Montpellier;2577;0;0.01;0.05;0.77;42.3;0.52;0.05;0.56;0.56;59.3;1.33;7.13
Marco Festa;GK;Crotone;90;0;0;0;0;0;0;0;0;0;0;0;0
Fidel;W;Elche;2396;0.23;0.07;0.12;0.45;32.4;1.88;0.19;0.86;1.8;57.8;1.88;4.1
Sam Field;CM;West Brom;62;0;0;0;1.43;33.3;0;0;0;1.43;50;1.43;14.3
Alfreð Finnbogason;FW;Augsburg;544;0;0.27;0.15;2.83;39.5;5;0.23;0.83;0.83;62.5;1.83;5.17
Roberto Firmino;FW;Liverpool;2838;0.29;0.4;0.16;0.79;22.3;6.89;0.2;1.37;1.59;68.5;1.68;5.56
Junior Firpo;FB;Barcelona;289;0.31;0.25;0.83;0.63;50;4.06;0.22;0.63;0.94;42.9;0.31;3.75
John Fleck;CM;Sheffield Utd;2575;0;0.03;0.05;0.31;32.1;1.08;0.09;0.87;1.19;64.2;1.22;4.48
Mark Flekken;GK;Freiburg;270;0;0;0;0;0;0;0;0;0;0;0;0
Florian Flick;CM;Schalke 04;360;0.25;0.13;0.48;1.25;38.5;0.25;0;0.75;0;0;0;9
Alexis Flips;W;Reims;43;2;0.2;0.03;0;0;2;0;0;0;0;2;6
Alessandro Florenzi;FB;Paris Saint-Germain;1538;0.12;0.13;0.1;0.64;31.4;3.16;0.12;1.4;0.35;50;0.18;3.16
Kingsley Fobi;FB;Granada;45;0;0;0;0;0;0;0;2;0;0;0;0
Phil Foden;W;Manchester City;1616;0.5;0.31;0.12;0.78;31.8;8;0.23;1.33;2.39;60.6;1.61;4.89
Mamadou Fofana;CM;Metz;1070;0;0.03;0.11;0.42;29.4;0.42;0.01;0;0.25;100;0.34;4.03
Seko Fofana;CM;Lens;2309;0.08;0.12;0.08;1.05;55.1;2.33;0.09;0.7;1.56;58;1.71;4.36
Wesley Fofana;CB;Leicester City;2262;0;0.04;0.09;3.75;63.1;0.72;0.01;0.04;0.52;76.5;0.48;3.31
